unit,yr,quarter,cum_tests_orig,new_tests_orig,new_cases_orig,new_deaths_orig
BOL,2021,1,56392954,531364,112287,3092
BOL,2021,2,116659580,926001,167213,4510
BOL,2021,3,200334996,610438,60821,1968
BOL,2021,4,249857668,591277,99308,945
BOL,2022,1,274846836,17913,302190,2214
BOL,2022,2,39701324,0,1641,5
BRA,2020,1,653274,45708,5717,201
BRA,2020,2,523948816,11355520,1426748,59591
BRA,2020,3,1239769336,3772072,3404696,84286
BRA,2020,4,1527708676,2993888,2863667,50994
BRA,2021,1,1980168682,5394309,5082360,127066
BRA,2021,2,2144096227,0,5806904,196350
BRA,2021,3,2167657724,0,2862066,78544
BRA,2021,4,5355948206,42539120,859477,22302
BRA,2022,1,6155366872,4822598,7659831,40688
BRA,2022,2,922001795,0,232616,1719
BRB,2020,1,861,287,34,0
BRB,2020,2,341613,7534,63,7
BRB,2020,3,1342359,15647,93,0
BRB,2020,4,3786426,30966,193,0
BRB,2021,1,9862864,86460,3269,35
BRB,2021,2,14761952,44882,429,5
BRB,2021,3,22449754,124810,4300,27
BRB,2021,4,37556343,161359,20184,186
BRB,2022,1,49969944,140337,30707,114
BRB,2022,2,8055235,12753,3696,5
BRN,2020,1,61233,6421,129,1
BRN,2020,2,1573060,23126,12,2
BRN,2020,3,4191483,29367,5,0
BRN,2020,4,6647826,22994,11,0
BRN,2021,1,8756006,32226,55,0
BRN,2021,2,11369095,26748,48,0
BRN,2021,3,18874079,185109,6856,39
BRN,2021,4,50523564,343897,8372,56
BRN,2022,1,60289920,0,118942,110
BRN,2022,2,8708544,0,4649,8
BTN,2020,1,3481,667,4,0
BTN,2020,2,1239900,24381,73,0
BTN,2020,3,6731378,104851,205,0
BTN,2020,4,15915145,34810,388,0
BTN,2021,1,40803904,370243,203,1
BTN,2021,2,66623168,212076,1227,0
BTN,2021,3,73468716,0,501,2
BTN,2021,4,108839854,490303,59,0
BTN,2022,1,138916612,454447,25441,7
BTN,2022,2,22663199,0,16955,4
BWA,2020,1,1286,259,4,1
BWA,2020,2,1244554,36609,223,0
BWA,2020,3,8627895,147208,2945,15
BWA,2020,4,32434376,329776,11633,26
BWA,2021,1,64189599,412337,25043,526
BWA,2021,2,99313405,356546,29832,557
BWA,2021,3,142165031,464964,109540,1243
BWA,2021,4,170835716,268179,40289,76
BWA,2022,1,191372183,203591,86017,242
BWA,2022,2,28853097,0,333,2
CAF,2020,1,0,0,3,0
CAF,2020,2,827225,23208,3742,47
CAF,2020,3,2730361,8851,1084,15
CAF,2020,4,3101353,2620,134,1
CAF,2021,1,3308493,5141,198,4
CAF,2021,2,4613671,17240,1980,31
CAF,2021,3,5681391,8767,4230,2
CAF,2021,4,6490643,10418,792,1
CAF,2022,1,7426800,11292,2486,12
CAF,2022,2,1146692,1966,0,0
CAN,2020,1,1785655,236851,10711,303
CAN,2020,2,118303974,2484758,93897,8657
CAN,2020,3,439910320,4573415,57952,597
CAN,2020,4,969243472,6048321,427689,7128
CAN,2021,1,1914567161,14206963,400418,6874
CAN,2021,2,2985823949,9155187,429081,3088
CAN,2021,3,3630344172,6300524,209278,1332
CAN,2021,4,4354612409,9271257,594709,2591
CAN,2022,1,5113065291,7065401,1266175,7370
CAN,2022,2,775373288,595424,55600,275
CHE,2020,1,947662,111000,16605,485
CHE,2020,2,30754777,455594,15109,1324
CHE,2020,3,85107443,801101,21568,99
CHE,2020,4,218369131,2108982,399014,5965
