unit,yr,quarter,pop,cap_new_cases,cap_new_deaths,cap_new_tests
AUS,2022,2,25500,2.17167722476923076923076923076923076923,0.00197885376923076923076923076923076923,4.49230165915384615384615384615384615385
AUT,2020,1,9006,0.01291518612857142857142857142857142857,0.00011894764285714285714285714285714286,0.06707591764285714285714285714285714286
AUT,2020,2,9006,0.01153321473626373626373626373626373626,0.00076865425274725274725274725274725275,0.67519211857142857142857142857142857143
AUT,2020,3,9006,0.0304338170760869565217391304347826087,0.00010979347826086956521739130434782609,1.16131274802173913043478260869565217391
AUT,2020,4,9006,0.37574225878260869565217391304347826087,0.00627716577173913043478260869565217391,2.66522077068478260869565217391304347826
AUT,2021,1,9006,0.22493769584444444444444444444444444444,0.00404174986666666666666666666666666667,23.09849236327777777777777777777777777778
AUT,2021,2,9006,0.13879269742857142857142857142857142857,0.00176920058241758241758241758241758242,38.48397161395604395604395604395604395604
AUT,2021,3,9006,0.10533798723913043478260869565217391304,0.0003583704239130434782608695652173913,38.67712467021739130434782608695652173913
AUT,2021,4,9006,0.64225178383695652173913043478260869565,0.00325263788043478260869565217391304348,43.16608130826086956521739130434782608696
AUT,2022,1,9006,3.05420090317777777777777777777777777778,0.00253780813333333333333333333333333333,64.58965011022222222222222222222222222222
AUT,2022,2,9006,2.04698577023076923076923076923076923077,0.004262116,43.15645125384615384615384615384615384615
AZE,2020,1,10139,0.00026488945714285714285714285714285714,0.00000140857142857142857142857142857143,0
AZE,2020,2,10139,0.0170303116043956043956043956043956044,0.00020489450549450549450549450549450549,0.49118787318681318681318681318681318681
AZE,2020,3,10139,0.02580329079347826086956521739130434783,0.00041792826086956521739130434782608696,0.68315522925
AZE,2020,4,10139,0.18810812319565217391304347826086956522,0.00208298377173913043478260869565217391,1.14063431344565217391304347826086956522
AZE,2021,1,10139,0.04455841581111111111111111111111111111,0.00104990022222222222222222222222222222,0.73906806501111111111111111111111111111
AZE,2021,2,10139,0.08643048446153846153846153846153846154,0.00160296995604395604395604395604395604,0.96441441975824175824175824175824175824
AZE,2021,3,10139,0.15594969060869565217391304347826086957,0.00160593191304347826086956521739130435,1.18090284181521739130434782608695652174
AZE,2021,4,10139,0.14379580352173913043478260869565217391,0.00198330170652173913043478260869565217,1.07792767490217391304347826086956521739
AZE,2022,1,10139,0.19323843027777777777777777777777777778,0.00149368218888888888888888888888888889,0.93650809306666666666666666666666666667
AZE,2022,2,10139,0.00343684330769230769230769230769230769,0.00014407692307692307692307692307692308,0.40759595476923076923076923076923076923
BDI,2020,1,11891,0,0,0
BDI,2020,2,11891,0.00014778571428571428571428571428571429,0,0.00203404502197802197802197802197802198
BDI,2020,3,11891,0.00030429797826086956521739130434782609,0,0.0320693765
BDI,2020,4,11891,0.00028587934782608695652173913043478261,0,0.04121677704347826086956521739130434783
BDI,2021,1,11891,0.00178657504444444444444444444444444444,0,0.10122688475555555555555555555555555556
BDI,2021,2,11891,0.00245637801098901098901098901098901099,0,0.132849574
BDI,2021,3,11891,0.01051215194565217391304347826086956522,0.00002556521739130434782608695652173913,0.36095987834782608695652173913043478261
BDI,2021,4,11891,0.00841980425,0,0.29782846378260869565217391304347826087
BDI,2022,1,11891,0.01156711784444444444444444444444444444,0,0.37211429748888888888888888888888888889
BDI,2022,2,11891,0.00133907046153846153846153846153846154,0,0.11476035530769230769230769230769230769
BEL,2020,1,11590,0.01110810731428571428571428571428571429,0.00047332752857142857142857142857142857,0.05824849005714285714285714285714285714
BEL,2020,2,11590,0.04946571981318681318681318681318681319,0.008864205,0.83474101393406593406593406593406593407
BEL,2020,3,11590,0.04948137452173913043478260869565217391,0.00035461195652173913043478260869565217,2.0356416700760869565217391304347826087
BEL,2020,4,11590,0.4941638219239130434782608695652173913,0.00872191303260869565217391304347826087,3.47032392983695652173913043478260869565
BEL,2021,1,11590,0.21889943436666666666666666666666666667,0.00346754861111111111111111111111111111,6.97215032127777777777777777777777777778
BEL,2021,2,11590,0.20291839307692307692307692307692307692,0.00214093303296703296703296703296703297,3.93429822974725274725274725274725274725
BEL,2021,3,11590,0.14537269758695652173913043478260869565,0.00038739673913043478260869565217391304,4.4977510596739130434782608695652173913
BEL,2021,4,11590,0.77642176541304347826086956521739130435,0.00249655513043478260869565217391304348,6.69738999140217391304347826086956521739
BEL,2022,1,11590,1.66495062793333333333333333333333333333,0.00239095011111111111111111111111111111,5.46729172651111111111111111111111111111
BEL,2022,2,11590,0.839271255,0.00199774361538461538461538461538461538,3.12091989107692307692307692307692307692
BEN,2020,1,12123,0.00000825,0,0
BEN,2020,2,12123,0.00117465013186813186813186813186813187,0.00001087912087912087912087912087912088,0.01722088495604395604395604395604395604
BEN,2020,3,12123,0.00111796421739130434782608695652173913,0.00001883152173913043478260869565217391,0.12430378475
BEN,2020,4,12123,0.00079431211956521739130434782608695652,0,0.20523331506521739130434782608695652174
BEN,2021,1,12123,0.00355887046666666666666666666666666667,0.0000385,0.18398727845555555555555555555555555556
BEN,2021,2,12123,0.00097074347252747252747252747252747253,0.00000090659340659340659340659340659341,0.0150635473956043956043956043956043956
BEN,2021,3,12123,0.01348495976086956521739130434782608696,0.00004035326086956521739130434782608696,0
BEN,2021,4,12123,0.0015367790760869565217391304347826087,0.00000448369565217391304347826086956522,0
BEN,2022,1,12123,0.00184770561111111111111111111111111111,0,0
BEN,2022,2,12123,0,0,0
BFA,2020,1,20903,0.00013600457142857142857142857142857143,0.00000614571428571428571428571428571429,0.00001845258571428571428571428571428571
BFA,2020,2,20903,0.00039213585714285714285714285714285714,0.00002206703296703296703296703296703297,0.00470249849450549450549450549450549451
BFA,2020,3,20903,0.0005511945,0,0.01928316923913043478260869565217391304
BFA,2020,4,20903,0.00229736316304347826086956521739130435,0.00000987173913043478260869565217391304,0.02600521246739130434782608695652173913
BFA,2021,1,20903,0.00332594615555555555555555555555555556,0.00003347777777777777777777777777777778,0.03888702853333333333333333333333333333
BFA,2021,2,20903,0.00041960187912087912087912087912087912,0.00000787912087912087912087912087912088,0.01695849957142857142857142857142857143
BFA,2021,3,20903,0.00036663675,0.00000467608695652173913043478260869565,0.02297309111956521739130434782608695652
BFA,2021,4,20903,0.00166140611956521739130434782608695652,0.00007281956521739130434782608695652174,0.02711749298913043478260869565217391304
BFA,2022,1,20903,0.00184396884444444444444444444444444444,0.00003455666666666666666666666666666667,0.01435785397777777777777777777777777778
BFA,2022,2,20903,0.00006618461538461538461538461538461538,0,0
BGD,2020,1,164689,0.00000381342857142857142857142857142857,0.00000034685714285714285714285714285714,0.00009331428571428571428571428571428571
BGD,2020,2,164689,0.00894546315384615384615384615384615385,0.00011365978021978021978021978021978022,0.04771491330769230769230769230769230769
BGD,2020,3,164689,0.01486385275,0.00022821739130434782608695652173913043,0.07882036947826086956521739130434782609
BGD,2020,4,164689,0.0099623215760869565217391304347826087,0.0001535978260869565217391304347826087,0.08377001501086956521739130434782608696
BGD,2021,1,164689,0.00584367433333333333333333333333333333,0.00009675888888888888888888888888888889,0.09527311075555555555555555555555555556
BGD,2021,2,164689,0.01963240865934065934065934065934065934,0.00035110989010989010989010989010989011,0.12798628964835164835164835164835164835
BGD,2021,3,164689,0.04366359043478260869565217391304347826,0.00087535734782608695652173913043478261,0.20538547365217391304347826086956521739
BGD,2021,4,164689,0.00207710345652173913043478260869565217,0.00004132684782608695652173913043478261,0.1193858939239130434782608695652173913
BGD,2022,1,164689,0.02477564336666666666666666666666666667,0.00007111188888888888888888888888888889,0.15968974521111111111111111111111111111
BGD,2022,2,164689,0.00032507692307692307692307692307692308,0.00000186769230769230769230769230769231,0.04063089546153846153846153846153846154
BGR,2020,1,6948,0.00065796358571428571428571428571428571,0.00000822857142857142857142857142857143,0.02005510321428571428571428571428571429
BGR,2020,2,6948,0.00678984227472527472527472527472527473,0.00033389010989010989010989010989010989,0.19571289402197802197802197802197802198
BGR,2020,3,6948,0.02431885308695652173913043478260869565,0.00091379613043478260869565217391304348,0.59721440016304347826086956521739130435
BGR,2020,4,6948,0.27978961725,0.01015932490217391304347826086956521739,0.97264774340217391304347826086956521739
BGR,2021,1,6948,0.21112550372222222222222222222222222222,0.00880349267777777777777777777777777778,1.46935009278888888888888888888888888889
BGR,2021,2,6948,0.14323989194505494505494505494505494505,0.0082734179010989010989010989010989011,1.7154687569010989010989010989010989011
BGR,2021,3,6948,0.11644577105434782608695652173913043478,0.00406131548913043478260869565217391304,2.48844991365217391304347826086956521739
BGR,2021,4,6948,0.38031745136956521739130434782608695652,0.0157787039239130434782608695652173913,4.07547057646739130434782608695652173913
BGR,2022,1,6948,0.63356841294444444444444444444444444444,0.00920168872222222222222222222222222222,3.54909806176666666666666666666666666667
BGR,2022,2,6948,0.11631460084615384615384615384615384615,0.00261281615384615384615384615384615385,1.46241309069230769230769230769230769231
BHR,2020,1,1702,0.00407923448571428571428571428571428571,0,0.25215712607142857142857142857142857143
BHR,2020,2,1702,0.15961829006593406593406593406593406593,0.00045848861538461538461538461538461538,3.16854121203296703296703296703296703297
BHR,2020,3,1702,0.28167628875,0.00107305513043478260869565217391304348,5.62978337505434782608695652173913043478
BHR,2020,4,1702,0.14468911255434782608695652173913043478,0.00068989408695652173913043478260869565,5.975355081
BHR,2021,1,1702,0.32518605565555555555555555555555555556,0.00105771093333333333333333333333333333,7.70058754402222222222222222222222222222
BHR,2021,2,1702,0.79680014457142857142857142857142857143,0.00536537481318681318681318681318681319,9.49675236627472527472527472527472527473
BHR,2021,3,1702,0.06185178560869565217391304347826086957,0.00022992339130434782608695652173913043,8.88719792583695652173913043478260869565
